Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS.1,Unnamed: 6,Unnamed: 7,Attend.,Notes
"Fri, Dec 18, 2015",8:00p,Los Angeles Clippers,107,San Antonio Spurs,115,Box Score,,18418,
"Fri, Dec 18, 2015",8:30p,Memphis Grizzlies,88,Dallas Mavericks,97,Box Score,,20199,
"Fri, Dec 18, 2015",9:00p,Denver Nuggets,88,Utah Jazz,97,Box Score,,19169,
"Fri, Dec 18, 2015",10:30p,Milwaukee Bucks,112,Golden State Warriors,121,Box Score,,19596,
"Fri, Dec 18, 2015",10:30p,New Orleans Pelicans,88,Phoenix Suns,104,Box Score,,17227,
"Sat, Dec 19, 2015",5:00p,Los Angeles Lakers,78,Oklahoma City Thunder,118,Box Score,,18203,
"Sat, Dec 19, 2015",7:00p,Charlotte Hornets,101,Washington Wizards,109,Box Score,,16987,
"Sat, Dec 19, 2015",7:30p,Chicago Bulls,91,New York Knicks,107,Box Score,,19812,
"Sat, Dec 19, 2015",8:00p,Los Angeles Clippers,97,Houston Rockets,107,Box Score,,18212,
Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Notes
"Sat, Dec 19, 2015",8:00p,Indiana Pacers,84,Memphis Grizzlies,96,Box Score,,18119,
"Sun, Dec 20, 2015",1:00p,Minnesota Timberwolves,100,Brooklyn Nets,85,Box Score,,14552,
"Sun, Dec 20, 2015",1:00p,Portland Trail Blazers,109,Miami Heat,116,Box Score,,19600,
"Sun, Dec 20, 2015",3:30p,Philadelphia 76ers,86,Cleveland Cavaliers,108,Box Score,,20562,
"Sun, Dec 20, 2015",5:00p,Milwaukee Bucks,101,Phoenix Suns,95,Box Score,,16859,
"Sun, Dec 20, 2015",6:00p,Atlanta Hawks,103,Orlando Magic,100,Box Score,,16982,
"Sun, Dec 20, 2015",6:00p,Sacramento Kings,104,Toronto Raptors,94,Box Score,,19800,
"Sun, Dec 20, 2015",8:00p,New Orleans Pelicans,130,Denver Nuggets,125,Box Score,,13857,
"Mon, Dec 21, 2015",7:00p,Sacramento Kings,99,Washington Wizards,113,Box Score,,15124,
"Mon, Dec 21, 2015",7:30p,Minnesota Timberwolves,99,Boston Celtics,113,Box Score,,18624,
"Mon, Dec 21, 2015",7:30p,Orlando Magic,107,New York Knicks,99,Box Score,,19812,
"Mon, Dec 21, 2015",8:00p,Portland Trail Blazers,97,Atlanta Hawks,106,Box Score,,18373,
"Mon, Dec 21, 2015",8:00p,Brooklyn Nets,105,Chicago Bulls,102,Box Score,,21825,
"Mon, Dec 21, 2015",8:00p,Charlotte Hornets,95,Houston Rockets,102,Box Score,,18236,
"Mon, Dec 21, 2015",8:30p,Indiana Pacers,92,San Antonio Spurs,106,Box Score,,18418,
"Mon, Dec 21, 2015",9:00p,Phoenix Suns,89,Utah Jazz,110,Box Score,,19911,
"Mon, Dec 21, 2015",10:30p,Oklahoma City Thunder,100,Los Angeles Clippers,99,Box Score,,19415,
"Tue, Dec 22, 2015",7:00p,Memphis Grizzlies,104,Philadelphia 76ers,90,Box Score,,15552,
"Tue, Dec 22, 2015",7:30p,Detroit Pistons,93,Miami Heat,92,Box Score,,19901,
"Tue, Dec 22, 2015",7:30p,Dallas Mavericks,99,Toronto Raptors,103,Box Score,,19800,
Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Notes
"Tue, Dec 22, 2015",9:00p,Los Angeles Lakers,111,Denver Nuggets,107,Box Score,,19124,
"Wed, Dec 23, 2015",7:00p,Boston Celtics,102,Charlotte Hornets,89,Box Score,,19082,
"Wed, Dec 23, 2015",7:00p,New York Knicks,84,Cleveland Cavaliers,91,Box Score,,20562,
"Wed, Dec 23, 2015",7:00p,Sacramento Kings,108,Indiana Pacers,106,Box Score,,18165,
"Wed, Dec 23, 2015",7:00p,Houston Rockets,101,Orlando Magic,104,Box Score,,17061,
"Wed, Dec 23, 2015",7:00p,Memphis Grizzlies,91,Washington Wizards,100,Box Score,,15879,
"Wed, Dec 23, 2015",7:30p,Dallas Mavericks,119,Brooklyn Nets,118,Box Score,OT,15994,
"Wed, Dec 23, 2015",8:00p,Detroit Pistons,100,Atlanta Hawks,107,Box Score,,17575,
