Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS.1,Unnamed: 6,Unnamed: 7,Attend.,Notes
"Tue, Jan 1, 2019",7:30p,Utah Jazz,116,Toronto Raptors,122,Box Score,,19800,
"Tue, Jan 1, 2019",8:00p,Detroit Pistons,98,Milwaukee Bucks,121,Box Score,,17534,
"Tue, Jan 1, 2019",9:00p,New York Knicks,108,Denver Nuggets,115,Box Score,,19520,
"Tue, Jan 1, 2019",9:00p,Portland Trail Blazers,113,Sacramento Kings,108,Box Score,OT,17583,
"Tue, Jan 1, 2019",10:30p,Philadelphia 76ers,119,Los Angeles Clippers,113,Box Score,,17868,
"Wed, Jan 2, 2019",7:00p,Dallas Mavericks,122,Charlotte Hornets,84,Box Score,,16955,
"Wed, Jan 2, 2019",7:00p,Miami Heat,117,Cleveland Cavaliers,92,Box Score,,19432,
"Wed, Jan 2, 2019",7:00p,Atlanta Hawks,98,Washington Wizards,114,Box Score,,15324,
"Wed, Jan 2, 2019",7:30p,New Orleans Pelicans,121,Brooklyn Nets,126,Box Score,,16890,
"Wed, Jan 2, 2019",8:00p,Minnesota Timberwolves,102,Boston Celtics,115,Box Score,,18624,
"Wed, Jan 2, 2019",8:00p,Orlando Magic,112,Chicago Bulls,84,Box Score,,19013,
"Wed, Jan 2, 2019",8:00p,Detroit Pistons,101,Memphis Grizzlies,94,Box Score,,14109,
"Wed, Jan 2, 2019",9:00p,Philadelphia 76ers,132,Phoenix Suns,127,Box Score,,15226,
"Wed, Jan 2, 2019",10:30p,Oklahoma City Thunder,107,Los Angeles Lakers,100,Box Score,,18997,
"Thu, Jan 3, 2019",8:00p,Toronto Raptors,107,San Antonio Spurs,125,Box Score,,18354,
"Thu, Jan 3, 2019",10:00p,Denver Nuggets,117,Sacramento Kings,113,Box Score,,17583,
"Thu, Jan 3, 2019",10:30p,Houston Rockets,135,Golden State Warriors,134,Box Score,OT,19596,
"Fri, Jan 4, 2019",7:30p,Utah Jazz,117,Cleveland Cavaliers,91,Box Score,,19432,
"Fri, Jan 4, 2019",8:00p,Dallas Mavericks,93,Boston Celtics,114,Box Score,,18624,
"Fri, Jan 4, 2019",8:00p,Indiana Pacers,119,Chicago Bulls,116,Box Score,OT,21284,
Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Notes
"Fri, Jan 4, 2019",8:00p,Brooklyn Nets,109,Memphis Grizzlies,100,Box Score,,16683,
"Fri, Jan 4, 2019",8:00p,Washington Wizards,109,Miami Heat,115,Box Score,,19600,
"Fri, Jan 4, 2019",8:00p,Orlando Magic,103,Minnesota Timberwolves,120,Box Score,,14355,
"Fri, Jan 4, 2019",8:30p,Atlanta Hawks,112,Milwaukee Bucks,144,Box Score,,17632,
"Fri, Jan 4, 2019",9:00p,Los Angeles Clippers,121,Phoenix Suns,111,Box Score,,14764,
"Fri, Jan 4, 2019",10:30p,New York Knicks,119,Los Angeles Lakers,112,Box Score,,18997,
"Fri, Jan 4, 2019",10:30p,Oklahoma City Thunder,111,Portland Trail Blazers,109,Box Score,,19393,
"Sat, Jan 5, 2019",5:00p,Charlotte Hornets,110,Denver Nuggets,123,Box Score,,19861,
"Sat, Jan 5, 2019",7:00p,Utah Jazz,110,Detroit Pistons,105,Box Score,,17255,
"Sat, Jan 5, 2019",7:30p,Dallas Mavericks,100,Philadelphia 76ers,106,Box Score,,20656,
"Sat, Jan 5, 2019",8:00p,New Orleans Pelicans,133,Cleveland Cavaliers,98,Box Score,,19432,
"Sat, Jan 5, 2019",8:30p,Toronto Raptors,123,Milwaukee Bucks,116,Box Score,,18028,
"Sat, Jan 5, 2019",8:30p,Memphis Grizzlies,88,San Antonio Spurs,108,Box Score,,18354,
"Sat, Jan 5, 2019",10:00p,Houston Rockets,101,Portland Trail Blazers,110,Box Score,,19577,
"Sat, Jan 5, 2019",10:00p,Golden State Warriors,127,Sacramento Kings,123,Box Score,,17583,
"Sun, Jan 6, 2019",3:30p,Brooklyn Nets,117,Chicago Bulls,100,Box Score,,19265,
"Sun, Jan 6, 2019",3:30p,Orlando Magic,96,Los Angeles Clippers,106,Box Score,,16616,
"Sun, Jan 6, 2019",3:30p,Los Angeles Lakers,86,Minnesota Timberwolves,108,Box Score,,18978,
"Sun, Jan 6, 2019",6:00p,Miami Heat,82,Atlanta Hawks,106,Box Score,,16630,
"Sun, Jan 6, 2019",7:00p,Washington Wizards,116,Oklahoma City Thunder,98,Box Score,,18203,
Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Notes
"Sun, Jan 6, 2019",7:30p,Indiana Pacers,105,Toronto Raptors,121,Box Score,,19800,
"Sun, Jan 6, 2019",8:00p,Charlotte Hornets,119,Phoenix Suns,113,Box Score,,13110,
"Mon, Jan 7, 2019",7:00p,San Antonio Spurs,119,Detroit Pistons,107,Box Score,,13107,
"Mon, Jan 7, 2019",7:30p,Brooklyn Nets,95,Boston Celtics,116,Box Score,,18624,
"Mon, Jan 7, 2019",8:00p,Denver Nuggets,113,Houston Rockets,125,Box Score,,18055,
"Mon, Jan 7, 2019",8:00p,Utah Jazz,102,Milwaukee Bucks,114,Box Score,,17341,
"Mon, Jan 7, 2019",8:00p,Memphis Grizzlies,95,New Orleans Pelicans,114,Box Score,,14624,
"Mon, Jan 7, 2019",8:30p,Los Angeles Lakers,107,Dallas Mavericks,97,Box Score,,20354,
"Mon, Jan 7, 2019",10:00p,New York Knicks,101,Portland Trail Blazers,111,Box Score,,19026,
"Mon, Jan 7, 2019",10:00p,Orlando Magic,95,Sacramento Kings,111,Box Score,,15724,
"Tue, Jan 8, 2019",7:00p,Indiana Pacers,123,Cleveland Cavaliers,115,Box Score,,19432,
"Tue, Jan 8, 2019",7:00p,Washington Wizards,115,Philadelphia 76ers,132,Box Score,,20446,
"Tue, Jan 8, 2019",7:30p,Denver Nuggets,103,Miami Heat,99,Box Score,,19600,
"Tue, Jan 8, 2019",7:30p,Atlanta Hawks,101,Toronto Raptors,104,Box Score,,19800,
"Tue, Jan 8, 2019",8:00p,Minnesota Timberwolves,119,Oklahoma City Thunder,117,Box Score,,18203,
"Tue, Jan 8, 2019",9:00p,Sacramento Kings,111,Phoenix Suns,115,Box Score,,13977,
"Tue, Jan 8, 2019",10:30p,New York Knicks,95,Golden State Warriors,122,Box Score,,19596,
"Tue, Jan 8, 2019",10:30p,Charlotte Hornets,109,Los Angeles Clippers,128,Box Score,,15275,
"Wed, Jan 9, 2019",7:00p,Indiana Pacers,108,Boston Celtics,135,Box Score,,18624,
"Wed, Jan 9, 2019",7:00p,Philadelphia 76ers,106,Washington Wizards,123,Box Score,,18039,
Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Notes
"Wed, Jan 9, 2019",7:30p,Atlanta Hawks,100,Brooklyn Nets,116,Box Score,,14531,
"Wed, Jan 9, 2019",8:00p,Milwaukee Bucks,116,Houston Rockets,109,Box Score,,18055,
"Wed, Jan 9, 2019",8:00p,San Antonio Spurs,86,Memphis Grizzlies,96,Box Score,,13944,
"Wed, Jan 9, 2019",8:00p,Cleveland Cavaliers,124,New Orleans Pelicans,140,Box Score,,15058,
"Wed, Jan 9, 2019",8:30p,Phoenix Suns,94,Dallas Mavericks,104,Box Score,,19596,
"Wed, Jan 9, 2019",9:00p,Orlando Magic,93,Utah Jazz,106,Box Score,,18306,
"Wed, Jan 9, 2019",10:00p,Chicago Bulls,112,Portland Trail Blazers,124,Box Score,,19393,
"Wed, Jan 9, 2019",10:30p,Detroit Pistons,100,Los Angeles Lakers,113,Box Score,,18997,
"Thu, Jan 10, 2019",7:00p,Boston Celtics,99,Miami Heat,115,Box Score,,19600,
"Thu, Jan 10, 2019",9:00p,Los Angeles Clippers,100,Denver Nuggets,121,Box Score,,15742,
"Thu, Jan 10, 2019",9:30p,Oklahoma City Thunder,147,San Antonio Spurs,154,Box Score,2OT,18354,
"Thu, Jan 10, 2019",10:00p,Detroit Pistons,102,Sacramento Kings,112,Box Score,,16916,
"Fri, Jan 11, 2019",7:00p,Atlanta Hawks,123,Philadelphia 76ers,121,Box Score,,20487,
"Fri, Jan 11, 2019",7:00p,Milwaukee Bucks,106,Washington Wizards,113,Box Score,,17996,
"Fri, Jan 11, 2019",7:30p,Indiana Pacers,121,New York Knicks,106,Box Score,,19812,
"Fri, Jan 11, 2019",7:30p,Brooklyn Nets,105,Toronto Raptors,122,Box Score,,19800,
"Fri, Jan 11, 2019",8:00p,Cleveland Cavaliers,113,Houston Rockets,141,Box Score,,18055,
"Fri, Jan 11, 2019",8:00p,Dallas Mavericks,119,Minnesota Timberwolves,115,Box Score,,18978,
"Fri, Jan 11, 2019",10:00p,Charlotte Hornets,96,Portland Trail Blazers,127,Box Score,,19393,
"Fri, Jan 11, 2019",10:00p,Los Angeles Lakers,95,Utah Jazz,113,Box Score,,18306,
Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Notes
"Fri, Jan 11, 2019",10:30p,Chicago Bulls,109,Golden State Warriors,146,Box Score,,19596,
"Sat, Jan 12, 2019",3:30p,Detroit Pistons,109,Los Angeles Clippers,104,Box Score,,16540,
"Sat, Jan 12, 2019",5:00p,Memphis Grizzlies,108,Miami Heat,112,Box Score,,19600,
"Sat, Jan 12, 2019",7:00p,Boston Celtics,103,Orlando Magic,105,Box Score,,18846,
"Sat, Jan 12, 2019",8:00p,New Orleans Pelicans,106,Minnesota Timberwolves,110,Box Score,,16384,
"Sat, Jan 12, 2019",8:00p,San Antonio Spurs,112,Oklahoma City Thunder,122,Box Score,,18203,
"Sat, Jan 12, 2019",9:00p,Denver Nuggets,93,Phoenix Suns,102,Box Score,,15246,
"Sat, Jan 12, 2019",10:00p,Charlotte Hornets,97,Sacramento Kings,104,Box Score,,17853,
"Sat, Jan 12, 2019",10:00p,Chicago Bulls,102,Utah Jazz,110,Box Score,,18306,
"Sun, Jan 13, 2019",1:00p,Philadelphia 76ers,108,New York Knicks,105,Box Score,,18596,
"Sun, Jan 13, 2019",1:00p,Toronto Raptors,140,Washington Wizards,138,Box Score,2OT,16919,
"Sun, Jan 13, 2019",3:30p,Milwaukee Bucks,133,Atlanta Hawks,114,Box Score,,16292,
"Sun, Jan 13, 2019",6:00p,Houston Rockets,109,Orlando Magic,116,Box Score,,16982,
"Sun, Jan 13, 2019",7:00p,Golden State Warriors,119,Dallas Mavericks,114,Box Score,,20340,
"Sun, Jan 13, 2019",8:00p,Portland Trail Blazers,113,Denver Nuggets,116,Box Score,,19520,
"Sun, Jan 13, 2019",9:30p,Cleveland Cavaliers,101,Los Angeles Lakers,95,Box Score,,18997,
"Mon, Jan 14, 2019",7:30p,Boston Celtics,102,Brooklyn Nets,109,Box Score,,16247,
"Mon, Jan 14, 2019",8:00p,Memphis Grizzlies,94,Houston Rockets,112,Box Score,,18055,
"Mon, Jan 14, 2019",8:30p,Charlotte Hornets,108,San Antonio Spurs,93,Box Score,,18354,
"Mon, Jan 14, 2019",9:00p,Detroit Pistons,94,Utah Jazz,100,Box Score,,18306,
Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Notes
"Mon, Jan 14, 2019",10:00p,Portland Trail Blazers,107,Sacramento Kings,115,Box Score,,17583,
"Mon, Jan 14, 2019",10:30p,New Orleans Pelicans,121,Los Angeles Clippers,117,Box Score,,15283,
"Tue, Jan 15, 2019",7:00p,Phoenix Suns,97,Indiana Pacers,131,Box Score,,15698,
"Tue, Jan 15, 2019",7:00p,Minnesota Timberwolves,107,Philadelphia 76ers,149,Box Score,,20265,
"Tue, Jan 15, 2019",7:30p,Oklahoma City Thunder,126,Atlanta Hawks,142,Box Score,,15045,
