Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS.1,Unnamed: 6,Unnamed: 7,Attend.,Notes
"Fri, Jan 1, 2016",7:00p,Orlando Magic,91,Washington Wizards,103,Box Score,,16986,
"Fri, Jan 1, 2016",7:30p,Dallas Mavericks,82,Miami Heat,106,Box Score,,19748,
"Fri, Jan 1, 2016",7:30p,Charlotte Hornets,94,Toronto Raptors,104,Box Score,,19800,
"Fri, Jan 1, 2016",8:00p,New York Knicks,81,Chicago Bulls,108,Box Score,,22443,
"Fri, Jan 1, 2016",10:30p,Philadelphia 76ers,84,Los Angeles Lakers,93,Box Score,,18997,
"Sat, Jan 2, 2016",3:00p,Brooklyn Nets,100,Boston Celtics,97,Box Score,,18624,
"Sat, Jan 2, 2016",5:00p,Phoenix Suns,119,Sacramento Kings,142,Box Score,,17317,
"Sat, Jan 2, 2016",7:00p,Oklahoma City Thunder,109,Charlotte Hornets,90,Box Score,,19387,
"Sat, Jan 2, 2016",7:00p,Detroit Pistons,82,Indiana Pacers,94,Box Score,,18165,
"Sat, Jan 2, 2016",7:30p,Orlando Magic,79,Cleveland Cavaliers,104,Box Score,,20562,
"Sat, Jan 2, 2016",8:00p,Milwaukee Bucks,95,Minnesota Timberwolves,85,Box Score,,14107,
"Sat, Jan 2, 2016",8:30p,New Orleans Pelicans,105,Dallas Mavericks,98,Box Score,,20152,
"Sat, Jan 2, 2016",8:30p,Houston Rockets,103,San Antonio Spurs,121,Box Score,,18652,
"Sat, Jan 2, 2016",9:00p,Memphis Grizzlies,87,Utah Jazz,92,Box Score,OT,18455,
"Sat, Jan 2, 2016",10:30p,Denver Nuggets,108,Golden State Warriors,111,Box Score,OT,19596,
"Sat, Jan 2, 2016",10:30p,Philadelphia 76ers,99,Los Angeles Clippers,130,Box Score,,19212,
"Sun, Jan 3, 2016",3:30p,Atlanta Hawks,97,New York Knicks,111,Box Score,,19812,
"Sun, Jan 3, 2016",3:30p,Chicago Bulls,115,Toronto Raptors,113,Box Score,,19800,
"Sun, Jan 3, 2016",6:00p,Miami Heat,97,Washington Wizards,75,Box Score,,17793,
"Sun, Jan 3, 2016",9:00p,Portland Trail Blazers,112,Denver Nuggets,106,Box Score,,11883,
Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Notes
"Sun, Jan 3, 2016",9:30p,Phoenix Suns,77,Los Angeles Lakers,97,Box Score,,18997,
"Mon, Jan 4, 2016",7:00p,Toronto Raptors,100,Cleveland Cavaliers,122,Box Score,,20562,
"Mon, Jan 4, 2016",7:00p,Minnesota Timberwolves,99,Philadelphia 76ers,109,Box Score,,14013,
"Mon, Jan 4, 2016",7:30p,Boston Celtics,103,Brooklyn Nets,94,Box Score,,15448,
"Mon, Jan 4, 2016",7:30p,Orlando Magic,89,Detroit Pistons,115,Box Score,,14301,
"Mon, Jan 4, 2016",7:30p,Indiana Pacers,100,Miami Heat,103,Box Score,OT,19874,
"Mon, Jan 4, 2016",8:00p,San Antonio Spurs,123,Milwaukee Bucks,98,Box Score,,14718,
"Mon, Jan 4, 2016",8:00p,Sacramento Kings,116,Oklahoma City Thunder,104,Box Score,,18203,
"Mon, Jan 4, 2016",9:00p,Houston Rockets,93,Utah Jazz,91,Box Score,,17912,
"Mon, Jan 4, 2016",10:00p,Memphis Grizzlies,91,Portland Trail Blazers,78,Box Score,,18832,
"Mon, Jan 4, 2016",10:30p,Charlotte Hornets,101,Golden State Warriors,111,Box Score,,19596,
"Tue, Jan 5, 2016",8:00p,New York Knicks,107,Atlanta Hawks,101,Box Score,,15082,
"Tue, Jan 5, 2016",8:00p,Milwaukee Bucks,106,Chicago Bulls,117,Box Score,,21686,
"Tue, Jan 5, 2016",8:30p,Sacramento Kings,116,Dallas Mavericks,117,Box Score,2OT,20059,
"Tue, Jan 5, 2016",10:30p,Golden State Warriors,109,Los Angeles Lakers,88,Box Score,,18997,
"Wed, Jan 6, 2016",7:00p,New York Knicks,98,Miami Heat,90,Box Score,,19987,
"Wed, Jan 6, 2016",7:00p,Indiana Pacers,95,Orlando Magic,86,Box Score,,18846,
"Wed, Jan 6, 2016",7:00p,Cleveland Cavaliers,121,Washington Wizards,115,Box Score,,20356,
"Wed, Jan 6, 2016",7:30p,Detroit Pistons,99,Boston Celtics,94,Box Score,,18624,
"Wed, Jan 6, 2016",7:30p,Toronto Raptors,91,Brooklyn Nets,74,Box Score,,14544,
Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Notes
"Wed, Jan 6, 2016",8:00p,Denver Nuggets,78,Minnesota Timberwolves,74,Box Score,,12059,
"Wed, Jan 6, 2016",8:00p,Dallas Mavericks,100,New Orleans Pelicans,91,Box Score,,15255,
"Wed, Jan 6, 2016",8:30p,Utah Jazz,98,San Antonio Spurs,123,Box Score,,18418,
"Wed, Jan 6, 2016",9:00p,Charlotte Hornets,102,Phoenix Suns,111,Box Score,,16910,
"Wed, Jan 6, 2016",9:30p,Memphis Grizzlies,94,Oklahoma City Thunder,112,Box Score,,18203,
"Wed, Jan 6, 2016",10:00p,Los Angeles Clippers,109,Portland Trail Blazers,98,Box Score,,18598,
"Thu, Jan 7, 2016",7:00p,Atlanta Hawks,126,Philadelphia 76ers,98,Box Score,,12611,
"Thu, Jan 7, 2016",8:00p,Boston Celtics,92,Chicago Bulls,101,Box Score,,21497,
"Thu, Jan 7, 2016",8:00p,Utah Jazz,94,Houston Rockets,103,Box Score,,18155,
"Thu, Jan 7, 2016",10:30p,Los Angeles Lakers,115,Sacramento Kings,118,Box Score,,17386,
"Fri, Jan 8, 2016",7:00p,Toronto Raptors,97,Washington Wizards,88,Box Score,,17064,
"Fri, Jan 8, 2016",7:30p,Orlando Magic,83,Brooklyn Nets,77,Box Score,,13907,
"Fri, Jan 8, 2016",8:00p,Denver Nuggets,84,Memphis Grizzlies,91,Box Score,,17499,
"Fri, Jan 8, 2016",8:00p,Dallas Mavericks,95,Milwaukee Bucks,96,Box Score,,16409,
"Fri, Jan 8, 2016",8:00p,Cleveland Cavaliers,125,Minnesota Timberwolves,99,Box Score,,16768,
"Fri, Jan 8, 2016",8:00p,Indiana Pacers,91,New Orleans Pelicans,86,Box Score,,16895,
"Fri, Jan 8, 2016",8:30p,New York Knicks,99,San Antonio Spurs,100,Box Score,,18420,
"Fri, Jan 8, 2016",9:30p,Miami Heat,103,Phoenix Suns,95,Box Score,,16866,
"Fri, Jan 8, 2016",10:00p,Golden State Warriors,128,Portland Trail Blazers,108,Box Score,,20035,
"Fri, Jan 8, 2016",10:30p,Oklahoma City Thunder,117,Los Angeles Lakers,113,Box Score,,18997,
Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Notes
"Sat, Jan 9, 2016",3:30p,Charlotte Hornets,83,Los Angeles Clippers,97,Box Score,,19060,
"Sat, Jan 9, 2016",5:00p,Chicago Bulls,105,Atlanta Hawks,120,Box Score,,19010,
"Sat, Jan 9, 2016",7:00p,Washington Wizards,105,Orlando Magic,99,Box Score,,18058,
"Sat, Jan 9, 2016",7:30p,Brooklyn Nets,89,Detroit Pistons,103,Box Score,,16406,
"Sat, Jan 9, 2016",7:30p,Toronto Raptors,108,Philadelphia 76ers,95,Box Score,,14100,
"Sat, Jan 9, 2016",9:00p,Miami Heat,83,Utah Jazz,98,Box Score,,19911,
"Sat, Jan 9, 2016",10:00p,Golden State Warriors,128,Sacramento Kings,116,Box Score,,17317,
"Sun, Jan 10, 2016",3:30p,New Orleans Pelicans,111,Los Angeles Clippers,114,Box Score,OT,19060,
"Sun, Jan 10, 2016",5:00p,Dallas Mavericks,93,Minnesota Timberwolves,87,Box Score,,14363,
"Sun, Jan 10, 2016",6:00p,Boston Celtics,98,Memphis Grizzlies,101,Box Score,,17112,
"Sun, Jan 10, 2016",6:00p,Cleveland Cavaliers,95,Philadelphia 76ers,85,Box Score,,19226,
"Sun, Jan 10, 2016",7:00p,Indiana Pacers,103,Houston Rockets,107,Box Score,OT,18133,
"Sun, Jan 10, 2016",7:30p,Milwaukee Bucks,88,New York Knicks,100,Box Score,,19812,
"Sun, Jan 10, 2016",8:00p,Charlotte Hornets,92,Denver Nuggets,95,Box Score,,11343,
"Sun, Jan 10, 2016",9:00p,Oklahoma City Thunder,110,Portland Trail Blazers,115,Box Score,,19393,
"Sun, Jan 10, 2016",9:30p,Utah Jazz,86,Los Angeles Lakers,74,Box Score,,18997,
"Mon, Jan 11, 2016",7:30p,San Antonio Spurs,106,Brooklyn Nets,79,Box Score,,15214,
"Mon, Jan 11, 2016",8:00p,Washington Wizards,114,Chicago Bulls,100,Box Score,,21409,
"Mon, Jan 11, 2016",10:30p,Miami Heat,103,Golden State Warriors,111,Box Score,,19596,
"Tue, Jan 12, 2016",7:00p,Phoenix Suns,97,Indiana Pacers,116,Box Score,,15284,
Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Notes
"Tue, Jan 12, 2016",7:30p,San Antonio Spurs,109,Detroit Pistons,99,Box Score,,14273,
"Tue, Jan 12, 2016",7:30p,Boston Celtics,114,New York Knicks,120,Box Score,,19812,
"Tue, Jan 12, 2016",8:00p,Houston Rockets,107,Memphis Grizzlies,91,Box Score,,16044,
"Tue, Jan 12, 2016",8:00p,Chicago Bulls,101,Milwaukee Bucks,106,Box Score,,16867,
"Tue, Jan 12, 2016",8:00p,Oklahoma City Thunder,101,Minnesota Timberwolves,96,Box Score,,14791,
"Tue, Jan 12, 2016",8:30p,Cleveland Cavaliers,110,Dallas Mavericks,107,Box Score,OT,20347,
"Tue, Jan 12, 2016",10:30p,New Orleans Pelicans,91,Los Angeles Lakers,95,Box Score,,18997,
"Wed, Jan 13, 2016",7:00p,Atlanta Hawks,84,Charlotte Hornets,107,Box Score,,15334,
"Wed, Jan 13, 2016",7:00p,Milwaukee Bucks,101,Washington Wizards,106,Box Score,,16248,
"Wed, Jan 13, 2016",7:30p,New York Knicks,104,Brooklyn Nets,110,Box Score,,17732,
"Wed, Jan 13, 2016",8:00p,Indiana Pacers,94,Boston Celtics,103,Box Score,,18624,
"Wed, Jan 13, 2016",8:00p,Minnesota Timberwolves,104,Houston Rockets,107,Box Score,,17115,
"Wed, Jan 13, 2016",8:00p,Dallas Mavericks,89,Oklahoma City Thunder,108,Box Score,,18203,
"Wed, Jan 13, 2016",9:00p,Golden State Warriors,110,Denver Nuggets,112,Box Score,,18004,
"Wed, Jan 13, 2016",10:00p,Utah Jazz,85,Portland Trail Blazers,99,Box Score,,19393,
"Wed, Jan 13, 2016",10:00p,New Orleans Pelicans,109,Sacramento Kings,97,Box Score,,17317,
"Wed, Jan 13, 2016",10:30p,Miami Heat,90,Los Angeles Clippers,104,Box Score,,19194,
"Thu, Jan 14, 2016",3:00p,Toronto Raptors,106,Orlando Magic,103,Box Score,OT,18689,"at London, England"
"Thu, Jan 14, 2016",7:00p,Chicago Bulls,115,Philadelphia 76ers,111,Box Score,OT,14063,
"Thu, Jan 14, 2016",8:00p,Detroit Pistons,101,Memphis Grizzlies,103,Box Score,,15977,
Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Notes
"Thu, Jan 14, 2016",8:00p,Cleveland Cavaliers,95,San Antonio Spurs,99,Box Score,,18418,
"Thu, Jan 14, 2016",9:00p,Sacramento Kings,103,Utah Jazz,101,Box Score,,17894,
"Thu, Jan 14, 2016",10:30p,Los Angeles Lakers,98,Golden State Warriors,116,Box Score,,19596,
"Fri, Jan 15, 2016",7:00p,Washington Wizards,118,Indiana Pacers,104,Box Score,,18165,
"Fri, Jan 15, 2016",7:00p,Minnesota Timberwolves,93,Oklahoma City Thunder,113,Box Score,,18203,
"Fri, Jan 15, 2016",7:30p,Phoenix Suns,103,Boston Celtics,117,Box Score,,18624,
"Fri, Jan 15, 2016",7:30p,Portland Trail Blazers,116,Brooklyn Nets,104,Box Score,,14749,
"Fri, Jan 15, 2016",8:00p,Dallas Mavericks,83,Chicago Bulls,77,Box Score,,22056,
"Fri, Jan 15, 2016",8:00p,Atlanta Hawks,101,Milwaukee Bucks,108,Box Score,OT,15144,
"Fri, Jan 15, 2016",8:00p,Charlotte Hornets,107,New Orleans Pelicans,109,Box Score,,16876,
"Fri, Jan 15, 2016",9:00p,Miami Heat,98,Denver Nuggets,95,Box Score,,15406,
"Fri, Jan 15, 2016",9:30p,Cleveland Cavaliers,91,Houston Rockets,77,Box Score,,18320,
"Sat, Jan 16, 2016",7:00p,Milwaukee Bucks,105,Charlotte Hornets,92,Box Score,,18288,
"Sat, Jan 16, 2016",7:30p,Brooklyn Nets,86,Atlanta Hawks,114,Box Score,,17052,
"Sat, Jan 16, 2016",7:30p,Golden State Warriors,95,Detroit Pistons,113,Box Score,,21584,
"Sat, Jan 16, 2016",7:30p,Portland Trail Blazers,89,Philadelphia 76ers,114,Box Score,,15698,
"Sat, Jan 16, 2016",7:30p,Boston Celtics,119,Washington Wizards,117,Box Score,,20356,
"Sat, Jan 16, 2016",8:00p,New York Knicks,95,Memphis Grizzlies,103,Box Score,,18119,
"Sat, Jan 16, 2016",9:00p,Los Angeles Lakers,82,Utah Jazz,109,Box Score,,19911,
"Sat, Jan 16, 2016",10:30p,Sacramento Kings,110,Los Angeles Clippers,103,Box Score,,19191,
Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Notes
"Sun, Jan 17, 2016",3:30p,Phoenix Suns,87,Minnesota Timberwolves,117,Box Score,,14330,
"Sun, Jan 17, 2016",7:00p,Miami Heat,74,Oklahoma City Thunder,99,Box Score,,18203,
"Sun, Jan 17, 2016",7:00p,Dallas Mavericks,83,San Antonio Spurs,112,Box Score,,18418,
"Sun, Jan 17, 2016",8:00p,Indiana Pacers,126,Denver Nuggets,129,Box Score,,11104,
"Sun, Jan 17, 2016",9:30p,Houston Rockets,112,Los Angeles Lakers,95,Box Score,,18997,
"Mon, Jan 18, 2016",1:00p,Philadelphia 76ers,113,New York Knicks,119,Box Score,2OT,19812,
"Mon, Jan 18, 2016",2:00p,Utah Jazz,119,Charlotte Hornets,124,Box Score,2OT,17459,
"Mon, Jan 18, 2016",2:00p,Portland Trail Blazers,108,Washington Wizards,98,Box Score,,17236,
"Mon, Jan 18, 2016",2:30p,New Orleans Pelicans,99,Memphis Grizzlies,101,Box Score,,18119,
"Mon, Jan 18, 2016",3:30p,Chicago Bulls,111,Detroit Pistons,101,Box Score,,18935,
"Mon, Jan 18, 2016",5:00p,Orlando Magic,81,Atlanta Hawks,98,Box Score,,17460,
"Mon, Jan 18, 2016",7:30p,Brooklyn Nets,100,Toronto Raptors,112,Box Score,,19800,
"Mon, Jan 18, 2016",8:00p,Golden State Warriors,132,Cleveland Cavaliers,98,Box Score,,20562,
"Mon, Jan 18, 2016",8:30p,Boston Celtics,113,Dallas Mavericks,118,Box Score,OT,19866,
"Mon, Jan 18, 2016",10:30p,Houston Rockets,132,Los Angeles Clippers,140,Box Score,OT,19060,
"Tue, Jan 19, 2016",7:30p,Milwaukee Bucks,91,Miami Heat,79,Box Score,,19886,
"Tue, Jan 19, 2016",8:00p,Minnesota Timberwolves,99,New Orleans Pelicans,114,Box Score,,14255,
"Tue, Jan 19, 2016",9:00p,Oklahoma City Thunder,110,Denver Nuggets,104,Box Score,,12844,
"Tue, Jan 19, 2016",9:00p,Indiana Pacers,97,Phoenix Suns,94,Box Score,,16802,
"Wed, Jan 20, 2016",7:00p,Philadelphia 76ers,96,Orlando Magic,87,Box Score,,17746,
Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Notes
"Wed, Jan 20, 2016",7:00p,Miami Heat,87,Washington Wizards,106,Box Score,,17008,
"Wed, Jan 20, 2016",7:30p,Cleveland Cavaliers,91,Brooklyn Nets,78,Box Score,,17732,
"Wed, Jan 20, 2016",7:30p,Utah Jazz,111,New York Knicks,118,Box Score,OT,19812,
"Wed, Jan 20, 2016",7:30p,Boston Celtics,109,Toronto Raptors,115,Box Score,,19800,
"Wed, Jan 20, 2016",8:00p,Golden State Warriors,125,Chicago Bulls,94,Box Score,,23152,
"Wed, Jan 20, 2016",8:00p,Detroit Pistons,123,Houston Rockets,114,Box Score,,17203,
"Wed, Jan 20, 2016",8:00p,Charlotte Hornets,95,Oklahoma City Thunder,109,Box Score,,18203,
"Wed, Jan 20, 2016",8:30p,Minnesota Timberwolves,94,Dallas Mavericks,106,Box Score,OT,19621,
"Wed, Jan 20, 2016",10:30p,Sacramento Kings,112,Los Angeles Lakers,93,Box Score,,18997,
"Wed, Jan 20, 2016",10:30p,Atlanta Hawks,104,Portland Trail Blazers,98,Box Score,,18783,
"Thu, Jan 21, 2016",8:00p,Los Angeles Clippers,102,Cleveland Cavaliers,115,Box Score,,20562,
"Thu, Jan 21, 2016",8:00p,Detroit Pistons,99,New Orleans Pelicans,115,Box Score,,15281,
"Thu, Jan 21, 2016",9:00p,Memphis Grizzlies,102,Denver Nuggets,101,Box Score,,16140,
"Thu, Jan 21, 2016",10:00p,Atlanta Hawks,88,Sacramento Kings,91,Box Score,,17019,
"Thu, Jan 21, 2016",10:30p,San Antonio Spurs,117,Phoenix Suns,89,Box Score,,16779,
"Fri, Jan 22, 2016",7:00p,Charlotte Hornets,120,Orlando Magic,116,Box Score,OT,18083,
"Fri, Jan 22, 2016",7:30p,Chicago Bulls,101,Boston Celtics,110,Box Score,,18624,
"Fri, Jan 22, 2016",7:30p,Utah Jazz,108,Brooklyn Nets,86,Box Score,,12809,
"Fri, Jan 22, 2016",7:30p,Los Angeles Clippers,116,New York Knicks,88,Box Score,,19812,
"Fri, Jan 22, 2016",8:00p,Milwaukee Bucks,98,Houston Rockets,102,Box Score,,17196,
Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Notes
"Fri, Jan 22, 2016",8:00p,Miami Heat,81,Toronto Raptors,101,Box Score,,19800,
"Fri, Jan 22, 2016",8:30p,Oklahoma City Thunder,109,Dallas Mavericks,106,Box Score,,20284,
"Fri, Jan 22, 2016",10:30p,Indiana Pacers,110,Golden State Warriors,122,Box Score,,19596,
"Fri, Jan 22, 2016",10:30p,San Antonio Spurs,108,Los Angeles Lakers,95,Box Score,,18997,
"Sat, Jan 23, 2016",7:00p,New York Knicks,84,Charlotte Hornets,97,Box Score,,17768,
"Sat, Jan 23, 2016",7:00p,Milwaukee Bucks,99,New Orleans Pelicans,116,Box Score,,16980,
"Sat, Jan 23, 2016",8:00p,Memphis Grizzlies,101,Minnesota Timberwolves,106,Box Score,,15608,
"Sat, Jan 23, 2016",8:30p,Chicago Bulls,96,Cleveland Cavaliers,83,Box Score,,20562,
"Sat, Jan 23, 2016",9:00p,Atlanta Hawks,95,Phoenix Suns,98,Box Score,,17034,
"Sat, Jan 23, 2016",9:30p,Detroit Pistons,101,Denver Nuggets,104,Box Score,,14646,
"Sat, Jan 23, 2016",10:30p,Los Angeles Lakers,103,Portland Trail Blazers,121,Box Score,,19728,
"Sat, Jan 23, 2016",10:30p,Indiana Pacers,97,Sacramento Kings,108,Box Score,,17419,
"Sun, Jan 24, 2016",3:30p,Dallas Mavericks,104,Houston Rockets,115,Box Score,,18142,
"Sun, Jan 24, 2016",6:00p,Los Angeles Clippers,94,Toronto Raptors,112,Box Score,,19800,
"Sun, Jan 24, 2016",7:00p,Boston Celtics,112,Philadelphia 76ers,92,Box Score,,9722,
"Sun, Jan 24, 2016",7:30p,Oklahoma City Thunder,106,Brooklyn Nets,116,Box Score,,16019,
"Mon, Jan 25, 2016",7:00p,Minnesota Timberwolves,107,Cleveland Cavaliers,114,Box Score,,20562,
"Mon, Jan 25, 2016",7:00p,Boston Celtics,116,Washington Wizards,91,Box Score,,11753,
"Mon, Jan 25, 2016",8:00p,Miami Heat,89,Chicago Bulls,84,Box Score,,21720,
"Mon, Jan 25, 2016",8:00p,Orlando Magic,102,Memphis Grizzlies,108,Box Score,OT,15779,
Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Notes
"Mon, Jan 25, 2016",8:00p,Houston Rockets,112,New Orleans Pelicans,111,Box Score,,15688,
"Mon, Jan 25, 2016",9:00p,Atlanta Hawks,119,Denver Nuggets,105,Box Score,,10280,
"Mon, Jan 25, 2016",9:00p,Detroit Pistons,95,Utah Jazz,92,Box Score,,18783,
"Mon, Jan 25, 2016",10:00p,Charlotte Hornets,129,Sacramento Kings,128,Box Score,2OT,16991,
"Mon, Jan 25, 2016",10:30p,San Antonio Spurs,90,Golden State Warriors,120,Box Score,,19596,
"Tue, Jan 26, 2016",7:00p,Los Angeles Clippers,91,Indiana Pacers,89,Box Score,,15448,
"Tue, Jan 26, 2016",7:00p,Phoenix Suns,103,Philadelphia 76ers,113,Box Score,,10851,
"Tue, Jan 26, 2016",7:30p,Miami Heat,102,Brooklyn Nets,98,Box Score,,15267,
"Tue, Jan 26, 2016",7:30p,Oklahoma City Thunder,128,New York Knicks,122,Box Score,OT,19812,
"Tue, Jan 26, 2016",7:30p,Washington Wizards,89,Toronto Raptors,106,Box Score,,19800,
"Tue, Jan 26, 2016",8:00p,Orlando Magic,100,Milwaukee Bucks,107,Box Score,,11884,
"Tue, Jan 26, 2016",10:00p,Sacramento Kings,97,Portland Trail Blazers,112,Box Score,,19393,
"Tue, Jan 26, 2016",10:30p,Dallas Mavericks,92,Los Angeles Lakers,90,Box Score,,18997,
"Wed, Jan 27, 2016",7:00p,Phoenix Suns,93,Cleveland Cavaliers,115,Box Score,,20562,
"Wed, Jan 27, 2016",7:30p,Denver Nuggets,103,Boston Celtics,111,Box Score,,18108,
"Wed, Jan 27, 2016",7:30p,Philadelphia 76ers,97,Detroit Pistons,110,Box Score,,13712,
"Wed, Jan 27, 2016",8:00p,Los Angeles Clippers,85,Atlanta Hawks,83,Box Score,,17664,
"Wed, Jan 27, 2016",8:00p,Oklahoma City Thunder,126,Minnesota Timberwolves,123,Box Score,,13337,
"Wed, Jan 27, 2016",8:00p,Houston Rockets,99,San Antonio Spurs,130,Box Score,,18418,
"Wed, Jan 27, 2016",9:00p,Charlotte Hornets,73,Utah Jazz,102,Box Score,,16683,
Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Notes
"Wed, Jan 27, 2016",10:30p,Dallas Mavericks,107,Golden State Warriors,127,Box Score,,19596,
"Thu, Jan 28, 2016",7:00p,Atlanta Hawks,92,Indiana Pacers,111,Box Score,,15196,
"Thu, Jan 28, 2016",7:00p,Denver Nuggets,117,Washington Wizards,113,Box Score,,15146,
"Thu, Jan 28, 2016",8:00p,Milwaukee Bucks,83,Memphis Grizzlies,103,Box Score,,15244,
"Thu, Jan 28, 2016",8:00p,Sacramento Kings,105,New Orleans Pelicans,114,Box Score,,15636,
"Thu, Jan 28, 2016",8:00p,New York Knicks,93,Toronto Raptors,103,Box Score,,19800,
"Thu, Jan 28, 2016",10:30p,Chicago Bulls,114,Los Angeles Lakers,91,Box Score,,18997,
"Fri, Jan 29, 2016",7:30p,Orlando Magic,94,Boston Celtics,113,Box Score,,17729,
"Fri, Jan 29, 2016",7:30p,Cleveland Cavaliers,114,Detroit Pistons,106,Box Score,,21012,
"Fri, Jan 29, 2016",7:30p,Phoenix Suns,84,New York Knicks,102,Box Score,,19812,
"Fri, Jan 29, 2016",8:00p,Miami Heat,107,Milwaukee Bucks,103,Box Score,,17846,
"Fri, Jan 29, 2016",8:00p,Houston Rockets,108,Oklahoma City Thunder,116,Box Score,,18203,
