Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS.1,Unnamed: 6,Unnamed: 7,Attend.,Notes
"Tue, Nov 1, 2016",6:00p,Houston Rockets,120,Cleveland Cavaliers,128,Box Score,,20562,
"Tue, Nov 1, 2016",7:00p,Los Angeles Lakers,108,Indiana Pacers,115,Box Score,,15348,
"Tue, Nov 1, 2016",7:00p,Orlando Magic,103,Philadelphia 76ers,101,Box Score,,12529,
"Tue, Nov 1, 2016",7:30p,New York Knicks,89,Detroit Pistons,102,Box Score,,13087,
"Tue, Nov 1, 2016",7:30p,Sacramento Kings,96,Miami Heat,108,Box Score,OT,19612,
"Tue, Nov 1, 2016",8:00p,Memphis Grizzlies,80,Minnesota Timberwolves,116,Box Score,,14774,
"Tue, Nov 1, 2016",8:00p,Milwaukee Bucks,117,New Orleans Pelicans,113,Box Score,,15515,
"Tue, Nov 1, 2016",8:30p,Utah Jazz,106,San Antonio Spurs,91,Box Score,,18418,
"Tue, Nov 1, 2016",10:00p,Golden State Warriors,127,Portland Trail Blazers,104,Box Score,,19393,
"Wed, Nov 2, 2016",7:00p,Philadelphia 76ers,93,Charlotte Hornets,109,Box Score,,15275,
"Wed, Nov 2, 2016",7:00p,Toronto Raptors,113,Washington Wizards,103,Box Score,,19581,
"Wed, Nov 2, 2016",7:30p,Los Angeles Lakers,123,Atlanta Hawks,116,Box Score,,13800,
"Wed, Nov 2, 2016",7:30p,Detroit Pistons,101,Brooklyn Nets,109,Box Score,,13650,
"Wed, Nov 2, 2016",7:30p,Houston Rockets,118,New York Knicks,99,Box Score,,19812,
"Wed, Nov 2, 2016",8:00p,Chicago Bulls,100,Boston Celtics,107,Box Score,,18624,
"Wed, Nov 2, 2016",8:00p,New Orleans Pelicans,83,Memphis Grizzlies,89,Box Score,OT,15881,
"Wed, Nov 2, 2016",9:00p,Dallas Mavericks,81,Utah Jazz,97,Box Score,,19318,
"Wed, Nov 2, 2016",10:00p,Portland Trail Blazers,115,Phoenix Suns,118,Box Score,OT,17284,
"Wed, Nov 2, 2016",10:30p,Oklahoma City Thunder,85,Los Angeles Clippers,83,Box Score,,19060,
"Thu, Nov 3, 2016",7:00p,Sacramento Kings,94,Orlando Magic,102,Box Score,,17026,
Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Notes
"Thu, Nov 3, 2016",8:00p,Boston Celtics,122,Cleveland Cavaliers,128,Box Score,,20562,
"Thu, Nov 3, 2016",8:00p,Indiana Pacers,107,Milwaukee Bucks,125,Box Score,,11374,
"Thu, Nov 3, 2016",8:00p,Denver Nuggets,102,Minnesota Timberwolves,99,Box Score,,11219,
"Thu, Nov 3, 2016",10:30p,Oklahoma City Thunder,96,Golden State Warriors,122,Box Score,,19596,
"Fri, Nov 4, 2016",7:00p,Atlanta Hawks,92,Washington Wizards,95,Box Score,,14663,
"Fri, Nov 4, 2016",7:30p,Charlotte Hornets,99,Brooklyn Nets,95,Box Score,,15775,
"Fri, Nov 4, 2016",7:30p,Miami Heat,87,Toronto Raptors,96,Box Score,,19800,
"Fri, Nov 4, 2016",8:00p,New York Knicks,117,Chicago Bulls,104,Box Score,,22376,
"Fri, Nov 4, 2016",8:00p,Los Angeles Clippers,99,Memphis Grizzlies,88,Box Score,,17115,
"Fri, Nov 4, 2016",8:00p,Phoenix Suns,112,New Orleans Pelicans,111,Box Score,OT,15379,
"Fri, Nov 4, 2016",8:30p,Portland Trail Blazers,105,Dallas Mavericks,95,Box Score,,19475,
"Fri, Nov 4, 2016",9:00p,San Antonio Spurs,100,Utah Jazz,86,Box Score,,19911,
"Fri, Nov 4, 2016",10:30p,Golden State Warriors,97,Los Angeles Lakers,117,Box Score,,18997,
"Sat, Nov 5, 2016",6:00p,Minnesota Timberwolves,92,Oklahoma City Thunder,112,Box Score,,18203,
"Sat, Nov 5, 2016",7:00p,Denver Nuggets,86,Detroit Pistons,103,Box Score,,16218,
"Sat, Nov 5, 2016",7:00p,Chicago Bulls,94,Indiana Pacers,111,Box Score,,17020,
"Sat, Nov 5, 2016",7:00p,Washington Wizards,86,Orlando Magic,88,Box Score,,18846,
"Sat, Nov 5, 2016",7:00p,Cleveland Cavaliers,102,Philadelphia 76ers,101,Box Score,,20497,
"Sat, Nov 5, 2016",7:30p,Houston Rockets,97,Atlanta Hawks,112,Box Score,,16895,
"Sat, Nov 5, 2016",8:00p,Sacramento Kings,91,Milwaukee Bucks,117,Box Score,,16021,
Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Notes
"Sat, Nov 5, 2016",8:30p,Los Angeles Clippers,116,San Antonio Spurs,92,Box Score,,18418,
"Sun, Nov 6, 2016",12:00p,Utah Jazz,114,New York Knicks,109,Box Score,,19812,
"Sun, Nov 6, 2016",3:30p,Portland Trail Blazers,100,Memphis Grizzlies,94,Box Score,,16233,
"Sun, Nov 6, 2016",6:00p,Sacramento Kings,96,Toronto Raptors,91,Box Score,,19800,
"Sun, Nov 6, 2016",7:00p,Milwaukee Bucks,75,Dallas Mavericks,86,Box Score,OT,19345,
"Sun, Nov 6, 2016",7:30p,Denver Nuggets,123,Boston Celtics,107,Box Score,,17452,
"Sun, Nov 6, 2016",9:30p,Phoenix Suns,108,Los Angeles Lakers,119,Box Score,,18997,
"Mon, Nov 7, 2016",7:00p,Indiana Pacers,100,Charlotte Hornets,122,Box Score,,16880,
"Mon, Nov 7, 2016",7:00p,Utah Jazz,109,Philadelphia 76ers,84,Box Score,,14168,
"Mon, Nov 7, 2016",7:00p,Houston Rockets,114,Washington Wizards,106,Box Score,,13173,
"Mon, Nov 7, 2016",8:00p,Orlando Magic,80,Chicago Bulls,112,Box Score,,21320,
"Mon, Nov 7, 2016",8:00p,Miami Heat,85,Oklahoma City Thunder,97,Box Score,,18203,
"Mon, Nov 7, 2016",10:30p,New Orleans Pelicans,106,Golden State Warriors,116,Box Score,,19596,
"Mon, Nov 7, 2016",10:30p,Detroit Pistons,82,Los Angeles Clippers,114,Box Score,,19060,
"Tue, Nov 8, 2016",7:00p,Atlanta Hawks,110,Cleveland Cavaliers,106,Box Score,,20562,
"Tue, Nov 8, 2016",7:30p,Minnesota Timberwolves,110,Brooklyn Nets,119,Box Score,,13610,
"Tue, Nov 8, 2016",8:00p,Denver Nuggets,107,Memphis Grizzlies,108,Box Score,,15109,
"Tue, Nov 8, 2016",10:00p,Phoenix Suns,121,Portland Trail Blazers,124,Box Score,,19239,
"Tue, Nov 8, 2016",10:30p,Dallas Mavericks,109,Los Angeles Lakers,97,Box Score,,18997,
"Tue, Nov 8, 2016",10:30p,New Orleans Pelicans,94,Sacramento Kings,102,Box Score,,17608,
Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Notes
"Wed, Nov 9, 2016",7:00p,Utah Jazz,98,Charlotte Hornets,104,Box Score,,15712,
"Wed, Nov 9, 2016",7:00p,Philadelphia 76ers,115,Indiana Pacers,122,Box Score,OT,15360,
"Wed, Nov 9, 2016",7:00p,Brooklyn Nets,96,New York Knicks,110,Box Score,,19812,
"Wed, Nov 9, 2016",7:00p,Minnesota Timberwolves,123,Orlando Magic,107,Box Score,,17102,
"Wed, Nov 9, 2016",7:00p,Boston Celtics,93,Washington Wizards,118,Box Score,,12675,
"Wed, Nov 9, 2016",7:30p,Chicago Bulls,107,Atlanta Hawks,115,Box Score,,16354,
"Wed, Nov 9, 2016",8:00p,Toronto Raptors,112,Oklahoma City Thunder,102,Box Score,,18203,
"Wed, Nov 9, 2016",9:00p,Detroit Pistons,100,Phoenix Suns,107,Box Score,,16719,
"Wed, Nov 9, 2016",9:30p,Houston Rockets,101,San Antonio Spurs,99,Box Score,,18418,
"Wed, Nov 9, 2016",10:30p,Dallas Mavericks,95,Golden State Warriors,116,Box Score,,19596,
"Wed, Nov 9, 2016",10:30p,Portland Trail Blazers,80,Los Angeles Clippers,111,Box Score,,19060,
"Thu, Nov 10, 2016",8:00p,Chicago Bulls,98,Miami Heat,95,Box Score,,19600,
"Thu, Nov 10, 2016",8:00p,New Orleans Pelicans,112,Milwaukee Bucks,106,Box Score,,12159,
"Thu, Nov 10, 2016",9:00p,Golden State Warriors,125,Denver Nuggets,101,Box Score,,17569,
"Thu, Nov 10, 2016",10:30p,Los Angeles Lakers,101,Sacramento Kings,91,Box Score,,17608,
"Fri, Nov 11, 2016",7:00p,Toronto Raptors,113,Charlotte Hornets,111,Box Score,,18107,
"Fri, Nov 11, 2016",7:00p,Utah Jazz,87,Orlando Magic,74,Box Score,,18846,
"Fri, Nov 11, 2016",7:00p,Indiana Pacers,105,Philadelphia 76ers,109,Box Score,OT,17643,
"Fri, Nov 11, 2016",7:00p,Cleveland Cavaliers,105,Washington Wizards,94,Box Score,,20356,
"Fri, Nov 11, 2016",7:30p,New York Knicks,87,Boston Celtics,115,Box Score,,18624,
Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Notes
"Fri, Nov 11, 2016",8:00p,Los Angeles Clippers,110,Oklahoma City Thunder,108,Box Score,,18203,
"Fri, Nov 11, 2016",8:30p,Detroit Pistons,86,San Antonio Spurs,96,Box Score,,18418,
"Fri, Nov 11, 2016",10:00p,Sacramento Kings,120,Portland Trail Blazers,122,Box Score,OT,19918,
