Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS.1,Unnamed: 6,Unnamed: 7,Attend.,Notes
"Fri, Nov 1, 2019",7:00p,Houston Rockets,116,Brooklyn Nets,123,Box Score,,17732,
"Fri, Nov 1, 2019",7:00p,Cleveland Cavaliers,95,Indiana Pacers,102,Box Score,,16079,
"Fri, Nov 1, 2019",7:00p,Milwaukee Bucks,123,Orlando Magic,91,Box Score,,15105,
"Fri, Nov 1, 2019",7:30p,New York Knicks,102,Boston Celtics,104,Box Score,,18624,
"Fri, Nov 1, 2019",8:00p,Detroit Pistons,106,Chicago Bulls,112,Box Score,,20671,
"Fri, Nov 1, 2019",9:30p,Los Angeles Lakers,119,Dallas Mavericks,110,Box Score,OT,20358,
"Fri, Nov 1, 2019",10:00p,Utah Jazz,101,Sacramento Kings,102,Box Score,,16273,
"Fri, Nov 1, 2019",10:30p,San Antonio Spurs,127,Golden State Warriors,110,Box Score,,18064,
"Sat, Nov 2, 2019",5:00p,New Orleans Pelicans,104,Oklahoma City Thunder,115,Box Score,,18203,
"Sat, Nov 2, 2019",7:00p,Brooklyn Nets,109,Detroit Pistons,113,Box Score,,17222,
"Sat, Nov 2, 2019",7:00p,Denver Nuggets,91,Orlando Magic,87,Box Score,,17025,
"Sat, Nov 2, 2019",8:00p,Phoenix Suns,114,Memphis Grizzlies,105,Box Score,,14144,
"Sat, Nov 2, 2019",8:00p,Toronto Raptors,105,Milwaukee Bucks,115,Box Score,,17637,
"Sat, Nov 2, 2019",8:00p,Minnesota Timberwolves,131,Washington Wizards,109,Box Score,,15150,
"Sat, Nov 2, 2019",8:30p,Charlotte Hornets,93,Golden State Warriors,87,Box Score,,18064,
"Sat, Nov 2, 2019",10:00p,Philadelphia 76ers,129,Portland Trail Blazers,128,Box Score,,19669,
"Sun, Nov 3, 2019",5:00p,Chicago Bulls,95,Indiana Pacers,108,Box Score,,17073,
"Sun, Nov 3, 2019",6:00p,Houston Rockets,100,Miami Heat,129,Box Score,,19724,
"Sun, Nov 3, 2019",6:00p,Sacramento Kings,113,New York Knicks,92,Box Score,,19812,
"Sun, Nov 3, 2019",7:00p,Los Angeles Lakers,103,San Antonio Spurs,96,Box Score,,18610,
Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Notes
"Sun, Nov 3, 2019",7:30p,Dallas Mavericks,131,Cleveland Cavaliers,111,Box Score,,18078,
"Sun, Nov 3, 2019",9:00p,Utah Jazz,94,Los Angeles Clippers,105,Box Score,,19068,
"Mon, Nov 4, 2019",7:00p,Detroit Pistons,99,Washington Wizards,115,Box Score,,13052,
"Mon, Nov 4, 2019",7:30p,New Orleans Pelicans,125,Brooklyn Nets,135,Box Score,,17194,
"Mon, Nov 4, 2019",8:00p,Houston Rockets,107,Memphis Grizzlies,100,Box Score,,14197,
"Mon, Nov 4, 2019",8:00p,Milwaukee Bucks,134,Minnesota Timberwolves,106,Box Score,,16271,
"Mon, Nov 4, 2019",9:00p,Philadelphia 76ers,109,Phoenix Suns,114,Box Score,,14285,
"Mon, Nov 4, 2019",10:30p,Portland Trail Blazers,118,Golden State Warriors,127,Box Score,,18064,
"Tue, Nov 5, 2019",7:00p,Indiana Pacers,120,Charlotte Hornets,122,Box Score,OT,13341,
"Tue, Nov 5, 2019",7:00p,Boston Celtics,119,Cleveland Cavaliers,113,Box Score,,17709,
"Tue, Nov 5, 2019",7:30p,San Antonio Spurs,100,Atlanta Hawks,108,Box Score,,14025,
"Tue, Nov 5, 2019",8:00p,Los Angeles Lakers,118,Chicago Bulls,112,Box Score,,21193,
"Tue, Nov 5, 2019",8:00p,Orlando Magic,94,Oklahoma City Thunder,102,Box Score,,18203,
"Tue, Nov 5, 2019",9:00p,Miami Heat,89,Denver Nuggets,109,Box Score,,18010,
"Wed, Nov 6, 2019",7:00p,New York Knicks,102,Detroit Pistons,122,Box Score,,15463,
"Wed, Nov 6, 2019",7:00p,Washington Wizards,106,Indiana Pacers,121,Box Score,,16171,
"Wed, Nov 6, 2019",7:30p,Chicago Bulls,113,Atlanta Hawks,93,Box Score,,15049,
"Wed, Nov 6, 2019",7:30p,Golden State Warriors,112,Houston Rockets,129,Box Score,,18055,
"Wed, Nov 6, 2019",7:30p,Sacramento Kings,120,Toronto Raptors,124,Box Score,,19800,
"Wed, Nov 6, 2019",8:00p,Minnesota Timberwolves,121,Memphis Grizzlies,137,Box Score,,13503,
Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Notes
"Wed, Nov 6, 2019",8:30p,Orlando Magic,106,Dallas Mavericks,107,Box Score,,19487,
"Wed, Nov 6, 2019",9:00p,Philadelphia 76ers,104,Utah Jazz,106,Box Score,,18306,
"Wed, Nov 6, 2019",10:00p,Milwaukee Bucks,129,Los Angeles Clippers,124,Box Score,,19068,
"Thu, Nov 7, 2019",8:00p,Boston Celtics,108,Charlotte Hornets,87,Box Score,,18487,
"Thu, Nov 7, 2019",8:30p,Oklahoma City Thunder,112,San Antonio Spurs,121,Box Score,,18354,
"Thu, Nov 7, 2019",9:00p,Miami Heat,124,Phoenix Suns,108,Box Score,,15498,
"Thu, Nov 7, 2019",10:30p,Portland Trail Blazers,101,Los Angeles Clippers,107,Box Score,,19068,
"Fri, Nov 8, 2019",7:00p,Detroit Pistons,106,Indiana Pacers,112,Box Score,,15544,
"Fri, Nov 8, 2019",7:00p,Memphis Grizzlies,86,Orlando Magic,118,Box Score,,17021,
"Fri, Nov 8, 2019",7:00p,Cleveland Cavaliers,113,Washington Wizards,100,Box Score,,16946,
"Fri, Nov 8, 2019",7:30p,Sacramento Kings,121,Atlanta Hawks,109,Box Score,,16447,
"Fri, Nov 8, 2019",8:00p,Golden State Warriors,119,Minnesota Timberwolves,125,Box Score,OT,15647,
"Fri, Nov 8, 2019",8:00p,Toronto Raptors,122,New Orleans Pelicans,104,Box Score,,16337,
"Fri, Nov 8, 2019",8:30p,New York Knicks,106,Dallas Mavericks,102,Box Score,,20257,
"Fri, Nov 8, 2019",9:00p,Philadelphia 76ers,97,Denver Nuggets,100,Box Score,,19520,
"Fri, Nov 8, 2019",9:00p,Milwaukee Bucks,100,Utah Jazz,103,Box Score,,18306,
"Fri, Nov 8, 2019",10:00p,Brooklyn Nets,119,Portland Trail Blazers,115,Box Score,,20089,
"Fri, Nov 8, 2019",10:30p,Miami Heat,80,Los Angeles Lakers,95,Box Score,,18997,
"Sat, Nov 9, 2019",5:00p,Boston Celtics,135,San Antonio Spurs,115,Box Score,,18354,
"Sat, Nov 9, 2019",7:00p,New Orleans Pelicans,115,Charlotte Hornets,110,Box Score,,18513,
Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Notes
"Sat, Nov 9, 2019",8:00p,Houston Rockets,117,Chicago Bulls,94,Box Score,,20482,
"Sat, Nov 9, 2019",8:00p,Dallas Mavericks,138,Memphis Grizzlies,122,Box Score,,15753,
"Sat, Nov 9, 2019",8:00p,Golden State Warriors,108,Oklahoma City Thunder,114,Box Score,,18203,
"Sun, Nov 10, 2019",3:30p,Denver Nuggets,100,Minnesota Timberwolves,98,Box Score,OT,13553,
"Sun, Nov 10, 2019",6:00p,Indiana Pacers,109,Orlando Magic,102,Box Score,,17118,
"Sun, Nov 10, 2019",6:00p,Charlotte Hornets,106,Philadelphia 76ers,114,Box Score,,20311,
"Sun, Nov 10, 2019",7:00p,Milwaukee Bucks,121,Oklahoma City Thunder,119,Box Score,,18203,
"Sun, Nov 10, 2019",7:30p,Cleveland Cavaliers,108,New York Knicks,87,Box Score,,19812,
"Sun, Nov 10, 2019",8:00p,Brooklyn Nets,112,Phoenix Suns,138,Box Score,,17290,
"Sun, Nov 10, 2019",9:00p,Atlanta Hawks,113,Portland Trail Blazers,124,Box Score,OT,20041,
"Sun, Nov 10, 2019",9:30p,Toronto Raptors,113,Los Angeles Lakers,104,Box Score,,18997,
"Mon, Nov 11, 2019",7:00p,Minnesota Timberwolves,120,Detroit Pistons,114,Box Score,,12526,
"Mon, Nov 11, 2019",7:30p,Dallas Mavericks,106,Boston Celtics,116,Box Score,,18624,
"Mon, Nov 11, 2019",7:30p,Memphis Grizzlies,113,San Antonio Spurs,109,Box Score,,18627,
"Mon, Nov 11, 2019",8:00p,Houston Rockets,122,New Orleans Pelicans,116,Box Score,,16695,
"Mon, Nov 11, 2019",10:30p,Utah Jazz,122,Golden State Warriors,108,Box Score,,18064,
"Mon, Nov 11, 2019",10:30p,Toronto Raptors,88,Los Angeles Clippers,98,Box Score,,19068,
"Tue, Nov 12, 2019",7:00p,Oklahoma City Thunder,85,Indiana Pacers,111,Box Score,,15838,
"Tue, Nov 12, 2019",7:00p,Cleveland Cavaliers,97,Philadelphia 76ers,98,Box Score,,20294,
"Tue, Nov 12, 2019",7:30p,Detroit Pistons,108,Miami Heat,117,Box Score,,19600,
Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Notes
"Tue, Nov 12, 2019",8:00p,New York Knicks,102,Chicago Bulls,120,Box Score,,18668,
"Tue, Nov 12, 2019",9:00p,Atlanta Hawks,125,Denver Nuggets,121,Box Score,,18327,
"Tue, Nov 12, 2019",9:00p,Los Angeles Lakers,123,Phoenix Suns,115,Box Score,,18055,
"Tue, Nov 12, 2019",9:00p,Brooklyn Nets,114,Utah Jazz,119,Box Score,,18306,
"Tue, Nov 12, 2019",10:00p,Portland Trail Blazers,99,Sacramento Kings,107,Box Score,,16358,
"Wed, Nov 13, 2019",7:00p,Memphis Grizzlies,119,Charlotte Hornets,117,Box Score,,13155,
"Wed, Nov 13, 2019",7:00p,Philadelphia 76ers,97,Orlando Magic,112,Box Score,,15113,
"Wed, Nov 13, 2019",7:30p,Washington Wizards,133,Boston Celtics,140,Box Score,,19156,
"Wed, Nov 13, 2019",7:30p,Los Angeles Clippers,93,Houston Rockets,102,Box Score,,18055,
"Wed, Nov 13, 2019",8:00p,San Antonio Spurs,114,Minnesota Timberwolves,129,Box Score,,11581,
"Wed, Nov 13, 2019",10:00p,Golden State Warriors,94,Los Angeles Lakers,120,Box Score,,18997,
"Wed, Nov 13, 2019",10:00p,Toronto Raptors,114,Portland Trail Blazers,106,Box Score,,19544,
"Thu, Nov 14, 2019",6:00p,Miami Heat,108,Cleveland Cavaliers,97,Box Score,,17374,
"Thu, Nov 14, 2019",8:00p,Chicago Bulls,115,Milwaukee Bucks,124,Box Score,,17627,
"Thu, Nov 14, 2019",8:00p,Los Angeles Clippers,127,New Orleans Pelicans,132,Box Score,,17147,
"Thu, Nov 14, 2019",8:00p,Dallas Mavericks,103,New York Knicks,106,Box Score,,19812,
"Thu, Nov 14, 2019",9:00p,Atlanta Hawks,112,Phoenix Suns,128,Box Score,,15143,
"Thu, Nov 14, 2019",10:30p,Brooklyn Nets,93,Denver Nuggets,101,Box Score,,18394,
