Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS.1,Unnamed: 6,Unnamed: 7,Attend.,Notes
"Sat, Nov 28, 2015",8:30p,Denver Nuggets,81,Dallas Mavericks,92,Box Score,,20339,
"Sat, Nov 28, 2015",8:30p,Atlanta Hawks,88,San Antonio Spurs,108,Box Score,,18418,
"Sat, Nov 28, 2015",9:00p,New Orleans Pelicans,87,Utah Jazz,101,Box Score,,19911,
"Sat, Nov 28, 2015",10:00p,Los Angeles Lakers,96,Portland Trail Blazers,108,Box Score,,20019,
"Sat, Nov 28, 2015",10:30p,Sacramento Kings,101,Golden State Warriors,120,Box Score,,19596,
"Sun, Nov 29, 2015",2:00p,Milwaukee Bucks,82,Charlotte Hornets,87,Box Score,,14224,
"Sun, Nov 29, 2015",3:30p,Minnesota Timberwolves,99,Los Angeles Clippers,107,Box Score,,19060,
"Sun, Nov 29, 2015",6:00p,Detroit Pistons,83,Brooklyn Nets,87,Box Score,,12823,
"Sun, Nov 29, 2015",6:00p,Philadelphia 76ers,84,Memphis Grizzlies,92,Box Score,,15322,
"Sun, Nov 29, 2015",6:00p,Boston Celtics,91,Orlando Magic,110,Box Score,,16209,
"Sun, Nov 29, 2015",6:00p,Phoenix Suns,107,Toronto Raptors,102,Box Score,,19800,
"Sun, Nov 29, 2015",7:30p,Houston Rockets,116,New York Knicks,111,Box Score,OT,19812,
"Sun, Nov 29, 2015",9:30p,Indiana Pacers,107,Los Angeles Lakers,103,Box Score,,18997,
"Mon, Nov 30, 2015",7:30p,Houston Rockets,105,Detroit Pistons,116,Box Score,,14818,
"Mon, Nov 30, 2015",7:30p,Boston Celtics,105,Miami Heat,95,Box Score,,19600,
"Mon, Nov 30, 2015",8:00p,Oklahoma City Thunder,100,Atlanta Hawks,106,Box Score,,17768,
"Mon, Nov 30, 2015",8:00p,San Antonio Spurs,89,Chicago Bulls,92,Box Score,,21909,
"Mon, Nov 30, 2015",8:00p,Denver Nuggets,74,Milwaukee Bucks,92,Box Score,,10187,
"Mon, Nov 30, 2015",9:00p,Golden State Warriors,106,Utah Jazz,103,Box Score,,19911,
"Mon, Nov 30, 2015",10:00p,Dallas Mavericks,98,Sacramento Kings,112,Box Score,,16937,
"Mon, Nov 30, 2015",10:30p,Portland Trail Blazers,87,Los Angeles Clippers,102,Box Score,,19060,
