Date,Close
2018/11/23,1502.060059
2018/11/26,1581.329956
2018/11/27,1581.420044
2018/11/28,1677.75
2018/11/29,1673.569946
2018/11/30,1690.170044
2018/12/03,1772.359985
2018/12/04,1668.400024
2018/12/06,1699.189941
2018/12/07,1629.130005
2018/12/10,1641.030029
2018/12/11,1643.23999
2018/12/12,1663.540039
2018/12/13,1658.380005
2018/12/14,1591.910034
2018/12/17,1520.910034
2018/12/18,1551.47998
2018/12/19,1495.079956
2018/12/20,1460.829956
2018/12/21,1377.449951
2018/12/24,1343.959961
2018/12/26,1470.900024
2018/12/27,1461.640015
2018/12/28,1478.02002
2018/12/31,1501.969971
2019/01/02,1539.130005
2019/01/03,1500.280029
2019/01/04,1575.390015
2019/01/07,1629.51001
2019/01/08,1656.579956
2019/01/09,1659.420044
2019/01/10,1656.219971
2019/01/11,1640.560059
2019/01/14,1617.209961
2019/01/15,1674.560059
2019/01/16,1683.780029
2019/01/17,1693.219971
2019/01/18,1696.199951
2019/01/22,1632.170044
2019/01/23,1640.02002
2019/01/24,1654.930054
2019/01/25,1670.569946
2019/01/28,1637.890015
2019/01/29,1593.880005
2019/01/30,1670.430054
2019/01/31,1718.72998
2019/02/01,1626.22998
2019/02/04,1633.310059
2019/02/05,1658.810059
2019/02/06,1640.26001
2019/02/07,1614.369995
2019/02/08,1588.219971
2019/02/11,1591
2019/02/12,1638.01001
2019/02/13,1640
2019/02/14,1622.650024
2019/02/15,1607.949951
2019/02/19,1627.579956
2019/02/20,1622.099976
2019/02/21,1619.439941
2019/02/22,1631.560059
2019/02/25,1633
2019/02/26,1636.400024
2019/02/27,1641.089966
2019/02/28,1639.829956
2019/03/01,1671.72998
2019/03/04,1696.170044
2019/03/05,1692.430054
2019/03/06,1668.949951
2019/03/07,1625.949951
2019/03/08,1620.800049
2019/03/11,1670.619995
2019/03/12,1673.099976
2019/03/13,1690.810059
2019/03/14,1686.219971
2019/03/15,1712.359985
2019/03/18,1742.150024
2019/03/19,1761.849976
2019/03/20,1797.27002
2019/03/21,1819.26001
2019/03/22,1764.77002
2019/03/25,1774.26001
2019/03/26,1783.76001
2019/03/27,1765.699951
2019/03/28,1773.420044
2019/03/29,1780.75
2019/04/01,1814.189941
2019/04/02,1813.97998
2019/04/03,1820.699951
2019/04/04,1818.859985
2019/04/05,1837.280029
2019/04/08,1849.859985
2019/04/09,1835.839966
2019/04/10,1847.329956
2019/04/11,1844.069946
2019/04/12,1843.060059
2019/04/15,1844.869995
2019/04/16,1863.040039
2019/04/17,1864.819946
2019/04/18,1861.689941
2019/04/22,1887.310059
2019/04/23,1923.77002
2019/04/24,1901.75
2019/04/25,1902.25
2019/04/26,1950.630005
2019/04/29,1938.430054
2019/04/30,1926.52002
2019/05/01,1911.52002
2019/05/02,1900.819946
2019/05/03,1962.459961
2019/05/06,1950.550049
2019/05/07,1921
2019/05/08,1917.77002
2019/05/09,1899.869995
2019/05/10,1889.97998
2019/05/13,1822.680054
2019/05/14,1840.119995
2019/05/15,1871.150024
2019/05/16,1907.569946
2019/05/17,1869
2019/05/20,1858.969971
2019/05/21,1857.52002
2019/05/22,1859.680054
2019/05/23,1815.47998
2019/05/24,1823.280029
2019/05/28,1836.430054
2019/05/29,1819.189941
2019/05/30,1816.319946
2019/05/31,1775.069946
2019/06/03,1692.689941
2019/06/04,1729.560059
2019/06/05,1738.5
2019/06/06,1754.359985
2019/06/07,1804.030029
2019/06/10,1860.630005
2019/06/11,1863.699951
2019/06/12,1855.319946
2019/06/13,1870.300049
2019/06/14,1869.670044
2019/06/17,1886.030029
2019/06/18,1901.369995
2019/06/19,1908.790039
2019/06/20,1918.189941
2019/06/21,1911.300049
2019/06/24,1913.900024
2019/06/25,1878.27002
2019/06/26,1897.829956
2019/06/27,1904.280029
2019/06/28,1893.630005
2019/07/01,1922.189941
2019/07/02,1934.310059
2019/07/03,1939
2019/07/05,1942.910034
2019/07/08,1952.319946
2019/07/09,1988.300049
2019/07/10,2017.410034
2019/07/11,2001.069946
2019/07/12,2011
2019/07/15,2020.98999
2019/07/16,2009.900024
2019/07/17,1992.030029
2019/07/18,1977.900024
2019/07/19,1964.52002
2019/07/22,1985.630005
2019/07/23,1994.48999
2019/07/24,2000.810059
2019/07/25,1973.819946
2019/07/26,1943.050049
2019/07/29,1912.449951
2019/07/30,1898.530029
